#Keyword Types: 44
#Keyword Tokens: 1263
#Search Hits: 0
1	34	+	88.6	0.0046	дядя
2	23	+	83.25	0.0031	тетушка
3	65	+	68.25	0.0087	колхоз
4	39	+	55.23	0.0053	мама
5	16	+	48.48	0.0022	дисциплина
6	350	+	47.36	0.0413	ты
7	10	+	43.97	0.0014	коза
8	9	+	39.57	0.0012	дядюшка
9	9	+	39.57	0.0012	комбайн
10	9	+	39.57	0.0012	прийти
11	9	+	39.57	0.0012	соха
12	307	+	38.79	0.0368	а
13	25	+	37.52	0.0034	хлеб
14	14	+	36.47	0.0019	комсомолец
15	8	+	35.17	0.0011	агротехника
16	12	+	33.34	0.0016	мечта
17	13	+	32.91	0.0018	мечтать
18	15	+	31.68	0.002	степь
19	7	+	30.78	0.0009	полезащитный
20	7	+	30.78	0.0009	сюзанэ
21	12	+	29.4	0.0016	сало
22	17	+	27.43	0.0023	голодный
23	6	+	26.38	0.0008	девчата
24	6	+	26.38	0.0008	курсы
25	6	+	26.38	0.0008	обком
26	10	+	26.05	0.0014	глядеть
27	10	+	26.05	0.0014	строить
28	8	+	25.63	0.0011	дедушка
29	11	+	24.38	0.0015	рубль
30	13	+	24.17	0.0018	урожай
31	29	+	22.48	0.0039	сколько
32	16	+	22.16	0.0022	свадьба
33	5	+	21.98	0.0007	пахать
34	5	+	21.98	0.0007	поливной
35	5	+	21.98	0.0007	пшеница
36	5	+	21.98	0.0007	фасон
37	22	+	21.94	0.003	председатель
38	8	+	20.84	0.0011	ячмень
39	10	+	19.8	0.0014	никуда
40	7	+	19.26	0.0009	стих
41	34	+	19.22	0.0046	уж
42	15	+	18.91	0.002	район
43	10	+	18.59	0.0014	ой
44	12	+	18.28	0.0016	про
